OBS,INTRATE,INFL,PROD,UNEMPL,COMMPRI,PCE,PERSINC,HOUST
1985:7,7.88,3.5,-0.2,3.0,-25.6,9.0,1.9,-2.8
1985:8,7.90,3.4,0.2,3.0,-25.0,9.7,1.1,9.9
1985:9,7.92,3.2,0.8,2.8,-17.0,10.4,0.8,-1.3
1985:10,7.99,3.2,0.5,2.7,-10.3,9.0,1.7,15.3
1985:11,8.05,3.5,0.5,2.6,-16.9,7.9,1.5,0.5
1985:12,8.27,3.8,1.4,2.6,-3.9,9.0,1.5,20.5
1986:1,8.14,4.0,2.1,2.4,1.7,8.1,1.6,15.3
1986:2,7.86,3.2,1.0,2.4,10.9,6.9,3.1,13.2
1986:3,7.48,2.2,0.2,2.2,6.1,6.7,4.6,4.2
1986:4,6.99,1.6,0.5,2.1,-2.9,6.7,3.3,6.2
1986:5,6.85,1.7,0.6,2.0,1.6,6.0,1.0,10.4
1986:6,6.92,1.8,0.2,1.7,21.0,6.5,3.2,10.2
1986:7,6.56,1.7,1.5,1.9,8.1,6.1,3.5,5.8
1986:8,6.17,1.6,0.9,1.8,17.0,5.4,3.8,3.7
1986:9,5.89,1.8,0.6,1.9,28.9,6.4,3.4,0.7
1986:10,5.85,1.6,1.5,1.9,22.6,6.5,2.8,-8.3
1986:11,6.04,1.3,1.6,1.9,24.9,5.7,2.7,-4.4
1986:12,6.91,1.2,1.4,1.9,17.0,6.7,2.2,-5.6
1987:1,6.43,1.4,0.7,2.0,26.2,3.9,2.5,-10.0
1987:2,6.10,1.9,2.7,2.1,25.8,6.5,2.5,-3.5
1987:3,6.13,2.8,3.5,2.3,28.0,6.8,1.5,-8.0
1987:4,6.37,3.7,4.1,2.4,53.3,7.3,-2.7,-16.5
1987:5,6.85,3.7,4.5,2.5,36.6,6.8,1.1,-12.2
1987:6,6.73,3.7,5.4,2.8,41.5,7.5,1.0,-13.7
1987:7,6.58,3.9,5.4,2.8,50.7,7.5,0.8,-11.6
1987:8,6.73,4.3,6.5,2.8,50.3,8.1,1.1,-11.2
1987:9,7.22,4.3,6.6,2.7,35.4,5.3,1.0,0.5
1987:10,7.29,4.4,7.7,3.0,37.3,7.0,1.7,-9.9
1987:11,6.69,4.5,7.7,3.1,38.7,7.5,2.0,2.0
1987:12,6.77,4.3,7.3,3.1,40.7,6.0,2.7,-23.6
1988:1,6.83,4.1,7.7,3.1,28.8,9.5,2.6,-28.4
1988:2,6.58,3.9,6.8,3.3,29.9,7.4,2.6,-17.4
1988:3,6.58,3.8,6.9,3.3,18.8,8.2,2.9,-11.2
1988:4,6.87,4.0,6.8,3.2,23.5,7.4,7.4,-2.5
1988:5,7.09,4.0,6.0,3.2,20.6,8.1,3.3,-12.7
1988:6,7.51,4.0,5.7,3.4,11.2,8.0,3.9,-7.3
1988:7,7.75,4.1,5.1,3.2,9.0,8.0,4.0,-6.9
1988:8,8.01,4.1,4.7,3.2,1.0,7.5,3.8,-7.0
1988:9,8.19,4.2,4.2,3.3,-5.8,7.9,4.0,-12.0
1988:10,8.30,4.3,3.1,3.0,-8.5,8.9,3.9,0.5
1988:11,8.35,4.2,2.8,3.1,-10.5,9.1,3.5,-5.3
1988:12,8.76,4.4,2.7,3.1,-13.0,8.9,3.2,11.6
1989:1,9.12,4.5,3.0,3.3,-10.4,8.3,3.4,27.5
1989:2,9.36,4.6,2.1,3.1,-16.4,8.2,3.2,-3.3
1989:3,9.85,4.9,2.1,3.0,-8.9,7.2,3.3,-7.2
1989:4,9.84,5.0,1.7,2.9,-19.3,8.5,2.4,-14.9
1989:5,9.81,5.3,1.1,2.8,-27.2,7.7,1.8,-6.3
1989:6,9.53,5.2,0.9,2.6,-38.0,7.4,1.6,-5.5
1989:7,9.24,5.1,-0.2,2.4,-40.6,7.2,1.6,-2.7
1989:8,8.99,4.6,0.3,2.3,-44.6,7.5,1.6,-10.8
1989:9,9.02,4.4,0.3,2.2,-41.8,7.3,1.7,-14.3
1989:10,8.84,4.6,-0.3,2.1,-42.7,6.4,1.6,-7.4
1989:11,8.55,4.7,-0.2,2.0,-42.3,6.2,1.7,-13.9
1989:12,8.45,4.6,0.0,1.8,-41.3,6.5,1.1,-20.0
1990:1,8.23,5.2,-0.9,1.9,-27.9,7.1,1.3,-4.3
1990:2,8.24,5.3,0.4,1.9,-34.3,6.9,1.2,0.8
1990:3,8.28,5.2,0.7,1.9,-26.2,7.3,0.6,-9.4
1990:4,8.26,4.7,0.5,1.8,-22.2,6.4,1.7,-6.8
1990:5,8.18,4.4,1.4,1.8,-15.5,6.3,1.9,-8.9
1990:6,8.29,4.7,1.7,1.7,6.4,6.7,1.9,-15.7
1990:7,8.15,4.8,2.6,1.6,6.9,6.6,1.8,-17.9
1990:8,8.13,5.7,1.9,1.4,22.6,6.3,0.9,-16.3
1990:9,8.20,6.2,2.4,1.1,65.6,6.8,0.6,-13.2
1990:10,8.11,6.4,1.7,0.8,79.0,6.5,-0.7,-28.1
1990:11,7.81,6.2,0.2,0.4,57.0,6.2,-0.8,-15.2
1990:12,7.31,6.3,-1.1,0.3,43.7,4.8,-0.3,-22.5
1991:1,6.91,5.6,-0.9,-0.1,1.6,2.9,-1.3,-48.5
1991:2,6.25,5.3,-2.5,-0.6,-0.2,3.7,-1.4,-32.8
1991:3,6.12,4.8,-3.5,-1.0,-17.8,4.2,-1.2,-28.5
1991:4,5.91,4.8,-3.2,-1.2,-23.8,3.6,-1.4,-19.8
1991:5,5.78,5.0,-2.4,-1.5,-23.8,4.2,-1.2,-17.8
1991:6,5.90,4.7,-1.8,-1.4,-25.6,3.6,-0.9,-12.0
1991:7,5.82,4.4,-1.7,-1.4,-25.3,3.7,-1.5,-9.2
1991:8,5.66,3.8,-1.8,-1.2,-21.3,3.1,-0.7,-5.9
1991:9,5.45,3.4,-1.2,-1.1,-35.2,2.9,-0.4,-8.6
1991:10,5.21,2.8,-0.6,-0.9,-31.9,2.7,0.5,6.4
1991:11,4.81,3.1,0.5,-0.8,-25.9,3.4,0.7,-3.7
1991:12,4.43,3.0,0.8,-0.8,-17.0,4.1,1.1,11.4
1992:1,4.03,2.7,0.6,-0.6,-12.0,6.3,2.5,47.4
1992:2,4.06,2.8,2.0,-0.4,3.1,6.0,2.9,29.5
1992:3,3.98,3.2,3.5,-0.2,16.7,5.2,2.8,40.8
1992:4,3.73,3.2,4.0,0.1,31.7,5.7,2.8,9.8
1992:5,3.82,3.0,3.3,0.4,44.0,5.7,3.3,21.9
1992:6,3.76,3.0,2.3,0.4,36.1,6.0,3.2,10.5
1992:7,3.25,3.2,3.2,0.4,46.4,6.0,3.3,7.1
1992:8,3.30,3.1,2.6,0.6,28.5,6.4,3.5,16.9
1992:9,3.22,3.0,1.9,0.6,13.4,6.8,2.7,16.8
1992:10,3.10,3.3,3.0,0.7,-7.2,7.8,1.8,15.3
1992:11,3.09,3.1,3.5,0.9,-11.6,7.4,1.7,10.1
1992:12,2.92,3.0,4.0,1.1,-1.8,7.9,4.3,13.7
1993:1,3.02,3.3,5.1,1.3,9.7,6.3,1.3,2.9
1993:2,3.03,3.2,4.7,1.6,17.4,6.3,1.1,-3.2
1993:3,3.07,3.0,3.8,1.5,11.4,5.7,0.7,-16.5
1993:4,2.96,3.2,3.4,1.6,6.8,6.3,0.9,14.5
1993:5,3.00,3.2,2.6,1.8,-8.4,6.4,0.2,3.8
1993:6,3.04,3.0,2.8,1.9,-6.1,6.3,-0.4,11.8
1993:7,3.06,2.8,2.2,2.1,-8.5,6.3,-0.1,10.1
1993:8,3.03,2.8,2.7,2.1,-2.6,6.1,-0.3,6.0
1993:9,3.09,2.8,2.9,2.3,-5.0,6.0,0.0,13.2
1993:10,2.99,2.8,2.9,2.4,9.7,5.8,0.1,11.9
1993:11,3.02,2.7,2.9,2.5,25.2,5.9,0.3,13.3
1993:12,2.96,2.8,3.3,2.6,10.6,5.4,0.2,24.9
1994:1,3.05,2.5,3.3,2.5,18.3,5.6,0.2,5.1
1994:2,3.25,2.5,2.9,2.5,16.9,6.4,0.1,10.5
1994:3,3.34,2.7,4.0,3.0,17.4,6.7,0.8,44.4
1994:4,3.56,2.4,4.3,3.0,16.3,6.3,0.3,16.5
1994:5,4.01,2.3,5.2,3.0,34.5,5.6,1.7,21.1
1994:6,4.25,2.5,5.8,3.2,37.7,6.1,1.7,10.1
1994:7,4.26,2.7,5.6,3.2,39.3,5.6,1.6,14.8
1994:8,4.47,2.9,6.3,3.3,43.8,6.3,1.6,11.5
1994:9,4.73,3.0,6.2,3.4,63.9,5.8,2.3,9.8
1994:10,4.76,2.6,6.3,3.3,65.2,6.2,3.8,4.2
1994:11,5.29,2.6,6.5,3.5,60.3,6.0,3.5,9.8
1994:12,5.45,2.6,7.0,3.4,64.0,5.9,0.5,-5.1
1995:1,5.53,2.9,6.8,3.5,46.0,5.8,2.9,10.6
1995:2,5.92,2.9,6.7,3.5,29.7,4.7,2.8,-1.6
1995:3,5.98,2.8,5.7,3.2,25.4,5.2,2.8,-20.1
1995:4,6.05,3.1,5.1,3.1,17.3,4.7,2.0,-13.5
1995:5,6.01,3.1,4.9,2.7,4.0,5.7,1.7,-13.9
1995:6,6.00,3.0,4.6,2.7,-7.2,5.7,2.3,-9.1
1995:7,5.85,2.8,4.0,2.4,-18.2,5.3,2.4,1.5
1995:8,5.74,2.6,4.8,2.4,-35.5,5.1,2.3,-2.3
1995:9,5.80,2.5,4.8,2.3,-39.2,5.2,2.2,-7.1
1995:10,5.76,2.7,3.8,2.2,-44.7,4.2,1.4,-5.6
1995:11,5.80,2.6,3.4,2.0,-47.3,4.8,1.7,-3.9
1995:12,5.60,2.5,2.7,1.9,-53.7,5.3,1.4,-1.6
1996:1,5.56,2.8,1.8,1.6,-53.1,4.9,1.1,4.3
1996:2,5.22,2.7,3.5,1.8,-52.5,5.8,1.7,13.3
1996:3,5.31,2.8,3.2,1.8,-49.4,5.9,1.7,14.0
1996:4,5.22,2.8,4.2,1.8,-44.3,6.5,1.9,19.7
1996:5,5.24,2.8,4.6,2.1,-28.8,5.9,2.2,14.5
1996:6,5.27,2.8,5.1,2.1,-26.0,5.1,2.5,14.5
1996:7,5.40,2.9,5.3,2.2,-24.7,5.7,2.0,0.8
1996:8,5.22,2.8,4.5,2.2,-3.9,5.4,2.2,10.0
1996:9,5.30,3.0,4.8,2.2,2.7,5.5,2.1,7.7
1996:10,5.24,3.1,4.9,2.2,-1.7,6.3,2.0,1.7
1996:11,5.31,3.3,5.5,2.4,4.0,5.9,2.0,2.5
1996:12,5.29,3.4,5.8,2.4,29.0,5.5,2.2,-4.3
1997:1,5.25,3.0,6.7,2.6,32.3,6.4,2.4,-7.6
1997:2,5.19,3.0,6.3,2.5,45.4,5.8,1.9,-0.3
1997:3,5.39,2.8,7.2,2.5,28.1,5.4,2.0,2.3
1997:4,5.51,2.4,6.3,2.6,21.2,4.8,2.7,-1.6
1997:5,5.50,2.2,6.2,2.6,-3.4,4.5,1.8,-4.1
1997:6,5.56,2.2,5.9,2.5,2.1,5.0,1.5,1.8
1997:7,5.52,2.2,7.0,2.6,17.9,5.6,2.2,-2.4
1997:8,5.54,2.3,7.4,2.4,11.8,5.9,2.5,-10.7
1997:9,5.54,2.2,7.6,2.6,5.8,5.7,2.5,4.8
1997:10,5.50,2.1,8.7,2.7,17.3,5.8,3.0,9.2
1997:11,5.52,1.9,8.7,2.7,12.5,5.8,3.4,1.4
1997:12,5.50,1.7,8.4,2.8,0.4,5.8,3.6,14.3
1998:1,5.56,1.6,8.8,2.8,-11.8,5.1,4.2,12.5
1998:2,5.51,1.4,7.6,2.7,-19.3,5.3,4.6,6.6
1998:3,5.49,1.4,6.9,2.6,-13.5,5.4,4.7,7.5
1998:4,5.45,1.4,7.2,2.6,-19.5,6.0,5.0,3.2
1998:5,5.49,1.7,7.2,2.7,-15.3,6.9,5.0,6.5
1998:6,5.56,1.6,5.9,2.7,-19.6,6.9,5.2,9.8
1998:7,5.54,1.7,4.7,2.5,-26.2,6.1,5.0,18.2
1998:8,5.55,1.6,5.8,2.8,-27.4,6.0,4.8,16.1
1998:9,5.51,1.4,4.6,2.6,-35.8,6.5,4.9,2.3
1998:10,5.07,1.5,4.5,2.4,-35.3,6.4,4.5,12.8
1998:11,4.83,1.5,3.5,2.4,-33.8,6.3,4.3,9.9
1998:12,4.68,1.6,3.5,2.4,-38.9,6.7,3.9,14.4
1999:1,4.63,1.7,3.5,2.3,-28.3,6.7,3.4,14.6
1999:2,4.76,1.7,3.9,2.5,-22.6,6.6,3.1,5.4
1999:3,4.81,1.7,4.0,2.5,-3.8,6.7,2.6,9.1
1999:4,4.74,2.3,3.8,2.5,17.0,7.1,2.1,0.8
1999:5,4.74,2.1,4.0,2.4,24.6,6.7,1.8,4.9
1999:6,4.76,2.0,4.5,2.4,37.9,6.5,1.6,-5.0
1999:7,4.99,2.1,5.6,2.5,44.5,6.7,1.5,-1.7
1999:8,5.07,2.3,3.8,2.4,60.3,6.8,1.6,2.1
1999:9,5.22,2.6,3.7,2.4,93.5,6.9,1.3,3.4
1999:10,5.20,2.6,4.3,2.5,98.3,6.7,1.7,-6.2
1999:11,5.42,2.6,4.9,2.5,97.4,7.0,2.0,-0.7
1999:12,5.30,2.7,5.3,2.5,111.3,7.7,2.7,-4.7
2000:1,5.45,2.8,4.9,2.6,114.8,7.6,3.1,-6.4
2000:2,5.73,3.2,4.7,2.3,103.4,8.5,3.2,4.0
2000:3,5.85,3.8,4.9,2.6,85.2,9.0,3.3,-6.2
2000:4,6.02,3.0,5.5,2.5,50.2,7.7,4.0,4.7
